Month,Day,TOTALDEMAND,YEAR,Date,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,avg_temp,ws_avg_50,ws_avg_10,
2,29,250800.16,2016,29-02-2016,65.66,11.88,25.66,13.95,18.49,3.27,1.99,6.19,5.18,4.92,3.85,19.805,4.73,3.585,
3,1,279446.68,2016,01-03-2016,44.71,9.71,32.51,13.97,23.01,0.87,0.49,7.03,5.56,3.57,2.68,23.24,3.95,3.025,
3,2,290365.96,2016,02-03-2016,39.13,8.75,33.99,16.86,24.15,2.95,2.22,7.72,6.48,4.96,3.74,25.425,5.335,4.35,
3,3,272452.24,2016,03-03-2016,63.03,12.62,27.95,15.9,19.87,2.07,2.29,6.34,5.22,4.42,3.79,21.925,4.205,3.755,
3,4,298753.14,2016,04-03-2016,49.91,13.73,35.41,15.82,24.99,0.71,0.51,8.12,6.27,4.21,3.08,25.615,4.415,3.39,
3,5,249384.63,2016,05-03-2016,73.06,15.31,25.95,16.45,20.33,0.77,0.96,4.73,4.48,3.29,2.79,21.2,2.75,2.72,
3,6,235415.9,2016,06-03-2016,67.07,14.63,30.45,15.14,20.98,0.42,0.92,5.64,5.11,3.37,3.01,22.795,3.03,3.015,
3,7,262931.65,2016,07-03-2016,72.28,16.08,29.61,17.39,21.28,3.67,2.94,6.26,5.61,5.03,4.34,23.5,4.965,4.275,
3,8,320570.03,2016,08-03-2016,42.27,13.02,37.65,17.08,27.28,1.88,1.27,9.63,6.26,5.7,3.83,27.365,5.755,3.765,
3,9,305198.25,2016,09-03-2016,50.42,13.11,28.56,17.8,24.33,1.35,0.86,9.3,5.25,4.88,3.53,23.18,5.325,3.055,
3,10,271271.41,2016,10-03-2016,86.06,16.2,21.84,16.67,18.59,1.9,1.65,5.12,4.26,3.25,2.74,19.255,3.51,2.955,
3,11,282828.7,2016,11-03-2016,74.18,17.24,29.34,16.94,22.05,0.79,0.61,5.68,4.33,2.67,2.09,23.14,3.235,2.47,
3,12,239381.51,2016,12-03-2016,78.27,16.65,26.78,16.84,20.55,2.76,2.09,5.86,4.97,4.09,3.35,21.81,4.31,3.53,
3,13,222659.24,2016,13-03-2016,72.86,14.71,26.62,15.92,19.71,2.63,2.67,5.29,4.47,4.4,3.53,21.27,3.96,3.57,
3,14,210777.14,2016,14-03-2016,70.78,11.62,21.31,14.64,17.11,5.14,3.48,7.81,6.91,6.51,5.08,17.975,6.475,5.195,
3,15,246147.96,2016,15-03-2016,67.04,12.96,26.12,14.2,19.23,5.58,4.34,9.4,7.49,7.36,5.61,20.16,7.49,5.915,
3,16,270095.25,2016,16-03-2016,56.89,13.03,29.86,14.29,21.99,1.6,1.16,6.06,4.6,4.53,2.93,22.075,3.83,2.88,
3,17,286369.61,2016,17-03-2016,48.46,13.01,30.99,19.61,24.64,6.36,3.15,10.53,7.81,8.47,5.77,25.3,8.445,5.48,
3,18,236379.44,2016,18-03-2016,71.25,10.73,23.84,11.24,16.46,8.09,5.37,14.05,11.18,11.32,8.39,17.54,11.07,8.275,
3,19,210968.2,2016,19-03-2016,68.38,7.91,17.69,10.78,13.69,5.35,3.08,7.91,6.5,7.14,5.12,14.235,6.63,4.79,
3,20,200788.12,2016,20-03-2016,61.28,7.15,20.78,9.52,14.66,4.04,2.69,7.45,5.79,5.42,3.84,15.15,5.745,4.24,
3,21,235593.43,2016,21-03-2016,69.03,9.53,21.82,9.59,15.23,4.21,2.87,7.31,6.26,5.64,4.03,15.705,5.76,4.565,
3,22,248162.92,2016,22-03-2016,60.96,9.34,25.12,10.41,17.11,0.32,0.26,4.68,2.83,2.62,1.86,17.765,2.5,1.545,
3,23,252149.79,2016,23-03-2016,55.84,9.44,25.02,13.07,18.73,1.55,0.77,7.89,5.89,5.05,3.38,19.045,4.72,3.33,
3,24,250145.46,2016,24-03-2016,77.66,13.26,21.92,14.44,17.19,0.41,0.68,4.95,3.87,3.12,2.39,18.18,2.68,2.275,
3,25,203481.78,2016,25-03-2016,69.2,10.35,20.81,13.18,16.07,3.24,2.07,5.08,4.54,4.29,3.15,16.995,4.16,3.305,
3,26,205453.49,2016,26-03-2016,76,11.56,21.11,11.61,15.78,3.72,2.27,6.33,5.4,5.28,3.83,16.36,5.025,3.835,
3,27,196649.29,2016,27-03-2016,68,8.37,18.51,11.44,14.26,5.27,3.53,7.21,6.02,6.45,4.64,14.975,6.24,4.775,
3,28,205493.2,2016,28-03-2016,66.74,7.61,16.84,11.09,13.68,5.67,3.27,6.94,5.48,6.27,4.4,13.965,6.305,4.375,
3,29,236562.26,2016,29-03-2016,68.08,8.42,18.11,11.5,14.21,5.86,4.02,7.41,6.18,6.8,4.99,14.805,6.635,5.1,
3,30,245250.42,2016,30-03-2016,65.3,7.84,17.91,11.37,14.29,3.91,2.37,6.98,6,6.12,4.44,14.64,5.445,4.185,
3,31,245929.43,2016,31-03-2016,69.37,10.62,22.44,10.49,16.26,2.08,1.28,4.07,3.04,2.96,2.17,16.465,3.075,2.16,
4,1,227664.59,2016,01-04-2016,57.68,9.48,22.66,13.47,18,5.01,2.96,11.37,8.52,8.76,5.83,18.065,8.19,5.74,
4,2,205665.44,2016,02-04-2016,60.18,7.63,19.89,10.67,15.52,5.85,3.18,10.12,6.52,7.33,5.1,15.28,7.985,4.85,
4,3,204168,2016,03-04-2016,63.51,6.82,19.58,9.6,13.63,4.74,3.08,6.29,5.38,5.57,3.86,14.59,5.515,4.23,
4,4,240891.47,2016,04-04-2016,64.06,7.89,22.41,8.44,14.69,0.45,0.83,5.43,3.44,3.25,2.27,15.425,2.94,2.135,
4,5,240742.47,2016,05-04-2016,47.35,6.63,27.16,11.11,18.49,2.71,1.39,12.05,9.39,7.58,5.09,19.135,7.38,5.39,
4,6,251314.25,2016,06-04-2016,84.46,10.53,15.98,8.89,13.26,3.14,1.96,7.53,6.09,5.12,3.65,12.435,5.335,4.025,
4,7,251326.66,2016,07-04-2016,69.71,7.26,19.01,7.24,12.69,1.67,1.13,5.42,3.21,3.5,2.49,13.125,3.545,2.17,
4,8,248533.77,2016,08-04-2016,65.71,8.32,20.12,11.12,14.69,0.53,0.3,3.69,3.22,2.31,1.79,15.62,2.11,1.76,
4,9,218089.8,2016,09-04-2016,64.96,9.08,21.64,10.58,15.71,0.66,0.53,5.94,4.27,3.97,2.78,16.11,3.3,2.4,
4,10,199690.69,2016,10-04-2016,68.9,10,21.87,10.97,15.72,6.02,3.52,8.71,7.1,7.2,4.9,16.42,7.365,5.31,
4,11,237228.01,2016,11-04-2016,78.57,11.35,19.36,12.4,15.05,4.95,2.7,7.61,6.2,6.18,4.28,15.88,6.28,4.45,
4,12,247617.52,2016,12-04-2016,80.36,10.87,17.76,11.81,14.21,5.04,2.75,5.8,4.82,5.39,3.68,14.785,5.42,3.785,
4,13,249373.26,2016,13-04-2016,77.61,10.26,19.8,10.67,14.11,2.15,2.27,6.25,4.36,4.44,3.15,15.235,4.2,3.315,
4,14,253038.13,2016,14-04-2016,66.29,9.7,23.89,10.7,16.06,1.22,0.84,7.25,5.46,3.87,2.6,17.295,4.235,3.15,
4,15,249442.97,2016,15-04-2016,57.87,9.15,25.86,12.22,17.73,1.44,0.96,6.43,5,4.25,2.92,19.04,3.935,2.98,
4,16,217051.93,2016,16-04-2016,82.15,11.19,19.32,11.22,14.22,2.55,1.6,7.7,6.41,5.13,3.99,15.27,5.125,4.005,
4,17,201052.61,2016,17-04-2016,69.22,7.66,18.43,10.44,13.22,3.71,2.39,7.62,6.03,6.3,4.47,14.435,5.665,4.21,
4,18,246883.64,2016,18-04-2016,69.04,10.25,23.82,9.04,15.95,2.76,1.98,7.69,6.11,5.03,3.45,16.43,5.225,4.045,
4,19,253692.89,2016,19-04-2016,57.68,8.81,24.69,11.69,17.38,4.62,2.69,7.32,5.66,6.01,3.85,18.19,5.97,4.175,
4,20,250409.57,2016,20-04-2016,53.11,9.13,26.39,13.33,18.95,5.11,2.9,8.45,5.82,7.03,4.38,19.86,6.78,4.36,
4,21,251028.28,2016,21-04-2016,69.74,11.95,22.79,13.68,17.7,3.68,2.92,9.76,6.01,6.7,4.71,18.235,6.72,4.465,
4,22,240248.61,2016,22-04-2016,73.46,8.56,16.69,11.62,13.38,6.4,4.17,8.19,6.84,7.48,5.52,14.155,7.295,5.505,
4,23,217547.49,2016,23-04-2016,76.03,9.26,17.33,10.11,13.42,4.6,2.78,7.01,5.89,6.05,4.19,13.72,5.805,4.335,
4,24,211284.56,2016,24-04-2016,70.57,8.27,20.72,9.47,13.55,0.27,0.18,5.09,3.08,2.6,1.75,15.095,2.68,1.63,
4,25,208144.87,2016,25-04-2016,59.4,7.1,23.42,8.75,15.01,2.27,1.58,7.53,5.94,5.86,3.83,16.085,4.9,3.76,
4,26,234875.33,2016,26-04-2016,53.19,6.22,23.61,9.74,15.83,6.02,3.72,8.75,6.75,7.48,4.67,16.675,7.385,5.235,
4,27,237063,2016,27-04-2016,48.9,6.98,24.2,12.37,17.97,8.59,4.94,13.43,10.25,10.8,7.21,18.285,11.01,7.595,
4,28,253694.04,2016,28-04-2016,54.61,9.85,25.36,15.47,19.38,1.05,0.44,11.25,7.15,6.85,4.51,20.415,6.15,3.795,
4,29,244108.26,2016,29-04-2016,80.3,13.08,18.53,14.94,16.59,5.31,3.37,10.19,6.93,7.57,4.82,16.735,7.75,5.15,
4,30,207010.39,2016,30-04-2016,76.14,13.13,22.27,14.11,17.43,6.57,3.69,10.9,8.19,8.77,5.76,18.19,8.735,5.94,
5,1,193253.75,2016,01-05-2016,76.16,8.28,15.77,7.72,12.69,6.42,3.8,13.49,10.6,10.14,7.33,11.745,9.955,7.2,
5,2,233939.26,2016,02-05-2016,62.25,4.52,16.68,6.53,11.53,6.55,3.84,13.22,10.03,10.03,7.18,11.605,9.885,6.935,
5,3,238028.89,2016,03-05-2016,72.75,8.08,16.64,8.66,12.98,8.03,4.61,16.45,12.97,12.55,9.18,12.65,12.24,8.79,
5,4,249050.37,2016,04-05-2016,67.16,5.29,16.73,6.16,11.22,5.36,3.68,8.45,6.74,7.39,4.99,11.445,6.905,5.21,
5,5,236384.11,2016,05-05-2016,68.2,8.09,19.5,8.66,13.85,7.77,4.87,12.69,9.97,10.02,7.02,14.08,10.23,7.42,
5,6,240842.64,2016,06-05-2016,65.92,9.11,23.14,10.42,15.51,0.47,0.15,10.52,7.15,6.75,4.78,16.78,5.495,3.65,
5,7,212105.28,2016,07-05-2016,59.74,7.84,23.62,10.9,15.7,5.14,2.7,9.19,6.94,7.51,4.69,17.26,7.165,4.82,
5,8,206974.56,2016,08-05-2016,84.33,11.76,15.61,13.29,14.56,5.87,3.66,8.53,5.66,7.05,4.6,14.45,7.2,4.66,
5,9,239562.27,2016,09-05-2016,82.27,12.36,17.29,13.36,15.64,8.28,5.51,16.63,12.4,11.41,8.22,15.325,12.455,8.955,
5,10,239223.76,2016,10-05-2016,72.75,8.28,16.29,10.79,13.31,9.56,6.43,14.47,10.83,11.7,8.57,13.54,12.015,8.63,
5,11,247232.56,2016,11-05-2016,80.62,8.95,14.32,9.48,12.22,8.43,5.53,12.87,9.91,11.09,7.93,11.9,10.65,7.72,
5,12,241387.06,2016,12-05-2016,78.62,12.11,20.05,13.6,15.81,8.88,5.49,12.53,8.94,10.63,7.42,16.825,10.705,7.215,
5,13,237600.14,2016,13-05-2016,71.22,9.61,20.34,11.18,14.79,6.4,3.41,8.86,6.42,7.76,5.06,15.76,7.63,4.915,
5,14,203891.99,2016,14-05-2016,69.39,8.42,20.76,9.53,13.97,7.83,4.5,10.73,8.1,8.93,6.07,15.145,9.28,6.3,
5,15,199395.24,2016,15-05-2016,70.99,7.81,19.09,9.04,13.01,3.14,2.18,10,7.8,7.77,5.43,14.065,6.57,4.99,
5,16,242365.39,2016,16-05-2016,79.45,9.13,19.1,6.27,12.7,1.9,1.36,12.94,9.48,8.47,6.09,12.685,7.42,5.42,
5,17,248418.81,2016,17-05-2016,72.78,8.06,17.21,10,12.86,3.23,2.1,10.22,6.82,7.01,4.71,13.605,6.725,4.46,
5,18,248704.43,2016,18-05-2016,71.5,7.22,17.26,8.24,12.23,3.27,2.11,8.24,6.15,6.51,4.31,12.75,5.755,4.13,
5,19,248784.58,2016,19-05-2016,81.33,10.36,17.17,10.44,13.52,7.45,4.35,11.99,9.21,9.6,6.75,13.805,9.72,6.78,
5,20,255411.68,2016,20-05-2016,77.19,8.53,16.38,9.56,12.45,0.72,0.56,6.87,3.97,3.86,2.56,12.97,3.795,2.265,
5,21,224673.56,2016,21-05-2016,80.14,8.47,16.63,8.26,11.79,3.4,2.29,7.76,5.54,5.87,3.82,12.445,5.58,3.915,
5,22,203237.96,2016,22-05-2016,66.68,7.87,19.19,9.02,13.98,7.96,4.82,13.42,10.38,10.63,7.39,14.105,10.69,7.6,
5,23,242848.84,2016,23-05-2016,76.39,7.72,14.67,9.27,11.91,6.69,3.75,11.44,8.98,9.3,6.46,11.97,9.065,6.365,
5,24,263832.81,2016,24-05-2016,79.24,7.68,15.46,8.3,11.17,0.62,0.39,7.21,4.84,4.91,3.26,11.88,3.915,2.615,
5,25,264340.1,2016,25-05-2016,75.78,6.51,15.09,8.15,10.7,5.02,2.98,11.7,9.15,9.12,6.56,11.62,8.36,6.065,
5,26,274161.75,2016,26-05-2016,89.51,7.18,11.23,6,8.85,4.87,3.25,10.14,7.47,7.07,4.83,8.615,7.505,5.36,
5,27,268635.24,2016,27-05-2016,82.91,5.75,12.47,5.82,8.53,1.26,0.92,7.19,4.67,4.71,3.19,9.145,4.225,2.795,
5,28,239877.59,2016,28-05-2016,83.68,5.96,12.07,5.43,8.6,2.1,1.43,8.75,7.08,6.65,4.42,8.75,5.425,4.255,
5,29,237503.93,2016,29-05-2016,80.54,5.84,11.72,7.1,9.04,1.36,1,7.11,4.24,4.43,2.94,9.41,4.235,2.62,
5,30,269967.91,2016,30-05-2016,69.34,3.95,13.82,5.91,9.35,0.15,0.07,2.29,1.95,1.69,1.27,9.865,1.22,1.01,
5,31,280804.3,2016,31-05-2016,68.12,2.88,15.46,2.11,8.52,1.38,0.9,3.82,3.05,2.69,1.95,8.785,2.6,1.975,
6,1,276790.66,2016,01-06-2016,74.94,5.42,15.69,5.32,9.72,1.91,1.32,3.67,2.44,2.52,1.81,10.505,2.79,1.88,
6,2,282585.12,2016,02-06-2016,85.29,7.15,15.19,6.77,9.55,0.18,0.16,4.38,2.63,1.95,1.39,10.98,2.28,1.395,
6,3,275434.51,2016,03-06-2016,86.77,7.58,15,6.47,9.73,2.35,1.93,4.58,2.65,3.41,2.28,10.735,3.465,2.29,
6,4,245528.66,2016,04-06-2016,98.24,10.59,13.04,9.27,10.9,2.34,1.45,5.08,2.7,3.64,2.28,11.155,3.71,2.075,
6,5,232105.61,2016,05-06-2016,93.04,9.63,14.05,6.65,10.78,0.34,0.19,5.35,3.16,3.71,2.37,10.35,2.845,1.675,
6,6,269659.51,2016,06-06-2016,91.46,6.92,12.05,5.68,8.26,5.08,2.83,6.6,5.46,5.99,3.94,8.865,5.84,4.145,
6,7,270612.01,2016,07-06-2016,94.09,9.05,13.4,6.97,10.01,6.2,3.59,9.59,6.88,7.74,5.27,10.185,7.895,5.235,
6,8,274610.71,2016,08-06-2016,92.21,8.83,11.89,8.37,10.03,6.32,3.73,12.37,9.15,8.62,6.25,10.13,9.345,6.44,
6,9,265718.61,2016,09-06-2016,90.55,9.06,13.01,8.09,10.54,6.87,3.88,10.74,7.75,8.23,5.59,10.55,8.805,5.815,
6,10,264419.03,2016,10-06-2016,88.86,7.61,13.05,6.46,9.39,6.6,4,9.19,7.22,7.64,5.15,9.755,7.895,5.61,
6,11,241506.86,2016,11-06-2016,81.11,4.44,11.67,4.81,7.6,6,3.41,9.88,7.62,7.97,5.18,8.24,7.94,5.515,
6,12,245543.06,2016,12-06-2016,76.54,3.56,13.07,3.41,7.49,2.07,1.48,6.3,3.51,3.92,2.7,8.24,4.185,2.495,
6,13,244213.9,2016,13-06-2016,76.34,2.34,12.13,2.4,6.24,3.33,2.31,8.2,6.7,6.64,4.45,7.265,5.765,4.505,
6,14,276933.12,2016,14-06-2016,85.52,5.35,14.22,3.94,7.66,2.71,1.69,8.2,6.25,6.07,4.23,9.08,5.455,3.97,
6,15,281809.18,2016,15-06-2016,85.55,6.05,15.54,4.15,8.34,1.66,1.12,6.55,3.77,3.93,2.57,9.845,4.105,2.445,
6,16,281482.33,2016,16-06-2016,88.57,6.02,11.58,3.56,7.92,6.35,3.78,10.25,8,8.52,6.07,7.57,8.3,5.89,
6,17,276046.22,2016,17-06-2016,94.87,10.54,13.7,10.17,11.33,2.67,1.55,8.96,6.07,5.16,3.33,11.935,5.815,3.81,
6,18,246324.37,2016,18-06-2016,90.04,7.64,11.04,6.37,9.2,4.16,2.54,5.81,4.25,5.04,3.39,8.705,4.985,3.395,
6,19,239324.33,2016,19-06-2016,92.66,7.41,11.55,6.27,8.58,1.39,0.96,6.51,4.07,3.48,2.35,8.91,3.95,2.515,
6,20,268870.23,2016,20-06-2016,95.14,9.79,11.77,8.83,10.54,6.33,3.72,9.38,7.4,7.83,5.48,10.3,7.855,5.56,
6,21,275022.63,2016,21-06-2016,89.79,7.47,10.95,7.25,9.05,6.36,3.66,11.18,8.83,8.95,6.4,9.1,8.77,6.245,
6,22,267626.57,2016,22-06-2016,85.29,7.21,12.59,6.73,9.55,7.86,4.66,11.4,8.87,9.61,6.63,9.66,9.63,6.765,
6,23,273480.01,2016,23-06-2016,84.56,5.86,12.7,5.32,8.31,5.51,3.48,16.55,12.85,10.96,8.21,9.01,11.03,8.165,
6,24,289316.76,2016,24-06-2016,91.92,3.66,6.41,3.61,4.89,5.9,3.92,10.9,8.52,8.09,5.6,5.01,8.4,6.22,
6,25,263461.67,2016,25-06-2016,85.26,3.62,10.32,2.33,5.99,1.48,1.13,7.67,4.41,4.39,2.92,6.325,4.575,2.77,
6,26,252911.87,2016,26-06-2016,86,2.7,9.34,1.22,4.89,4.37,2.8,7.51,6.23,6.2,4.15,5.28,5.94,4.515,
6,27,297279.99,2016,27-06-2016,87.31,3.47,10.46,2.39,5.5,3.95,2.24,7.23,4.79,5.97,3.91,6.425,5.59,3.515,
6,28,284292.62,2016,28-06-2016,91.69,5.88,13.02,2.87,7.3,5.39,2.66,8.01,5.25,6.65,4.25,7.945,6.7,3.955,
6,29,272143.93,2016,29-06-2016,82.95,5.66,12.9,5.55,8.43,5.9,3.83,10.95,7.76,8.1,5.45,9.225,8.425,5.795,
