LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
-37.82549,144.98161,2016,2,12,57.49,11.78,29.16,13.43,20.58,1.09,0.63,5.06,3.31,3.12,2.39
-37.82549,144.98161,2016,2,13,46.46,10.96,32.78,16.53,23.56,2.56,1.54,8.66,6.63,6.44,4.61
-37.82549,144.98161,2016,2,14,61.15,10.92,25.01,14.2,18.7,3.88,2.4,7.37,6.3,6.04,4.64
-37.82549,144.98161,2016,2,15,56.12,9.53,25.67,12.27,18.55,2.36,1.62,8.72,6.82,5.44,4.13
-37.82549,144.98161,2016,2,16,60.91,7.42,18.88,12.48,15.17,7.29,4.69,10.51,8.89,8.96,7
-37.82549,144.98161,2016,2,17,77.26,12,20.62,12.78,16.06,5.85,3.94,9.37,7.76,7.78,5.98
-37.82549,144.98161,2016,2,18,73.59,12.79,24.01,13.74,17.55,2.15,1.87,5.67,3.88,3.89,2.86
-37.82549,144.98161,2016,2,19,76.8,11.92,20.83,12.65,16.04,1.15,0.78,7.11,6.19,4.67,3.67
-37.82549,144.98161,2016,2,20,64.44,8.92,21.01,11.25,15.62,5.26,3.13,7.56,6.81,6.38,4.75
-37.82549,144.98161,2016,2,21,58.62,10.44,28.5,11.5,18.89,0.78,0.72,6.1,3.99,3.63,2.46
-37.82549,144.98161,2016,2,22,51.61,11.4,30.94,14.79,22.24,0.37,0.25,5.13,3.88,3.48,2.43
-37.82549,144.98161,2016,2,23,43.53,13.2,37.72,18.38,26.73,0.13,0.02,13.2,9.81,7.94,5.5
-37.82549,144.98161,2016,2,24,58.31,15.96,29.25,20.17,24.73,0.21,0.15,4.19,3.76,1.98,1.52
-37.82549,144.98161,2016,2,25,61.23,14.39,29.32,16.15,22.58,0.43,0.21,8.56,6.75,4.98,3.66
-37.82549,144.98161,2016,2,26,60.93,10.61,24.51,12.76,18.32,4.45,2.55,6.64,5.6,5.59,4.26
-37.82549,144.98161,2016,2,27,63.97,11.93,25.39,14.4,18.9,3.37,2.35,5.7,4.59,4.31,3.34
-37.82549,144.98161,2016,2,28,66.88,11.93,24.32,14.38,18.24,3.6,2.37,6.89,6.06,5.34,4.28
-37.82549,144.98161,2016,2,29,65.66,11.88,25.66,13.95,18.49,3.27,1.99,6.19,5.18,4.92,3.85
-37.82549,144.98161,2016,3,1,44.71,9.71,32.51,13.97,23.01,0.87,0.49,7.03,5.56,3.57,2.68
-37.82549,144.98161,2016,3,2,39.13,8.75,33.99,16.86,24.15,2.95,2.22,7.72,6.48,4.96,3.74
-37.82549,144.98161,2016,3,3,63.03,12.62,27.95,15.9,19.87,2.07,2.29,6.34,5.22,4.42,3.79
-37.82549,144.98161,2016,3,4,49.91,13.73,35.41,15.82,24.99,0.71,0.51,8.12,6.27,4.21,3.08
-37.82549,144.98161,2016,3,5,73.06,15.31,25.95,16.45,20.33,0.77,0.96,4.73,4.48,3.29,2.79
-37.82549,144.98161,2016,3,6,67.07,14.63,30.45,15.14,20.98,0.42,0.92,5.64,5.11,3.37,3.01
-37.82549,144.98161,2016,3,7,72.28,16.08,29.61,17.39,21.28,3.67,2.94,6.26,5.61,5.03,4.34
-37.82549,144.98161,2016,3,8,42.27,13.02,37.65,17.08,27.28,1.88,1.27,9.63,6.26,5.7,3.83
-37.82549,144.98161,2016,3,9,50.42,13.11,28.56,17.8,24.33,1.35,0.86,9.3,5.25,4.88,3.53
-37.82549,144.98161,2016,3,10,86.06,16.2,21.84,16.67,18.59,1.9,1.65,5.12,4.26,3.25,2.74
-37.82549,144.98161,2016,3,11,74.18,17.24,29.34,16.94,22.05,0.79,0.61,5.68,4.33,2.67,2.09
-37.82549,144.98161,2016,3,12,78.27,16.65,26.78,16.84,20.55,2.76,2.09,5.86,4.97,4.09,3.35
-37.82549,144.98161,2016,3,13,72.86,14.71,26.62,15.92,19.71,2.63,2.67,5.29,4.47,4.4,3.53
-37.82549,144.98161,2016,3,14,70.78,11.62,21.31,14.64,17.11,5.14,3.48,7.81,6.91,6.51,5.08
-37.82549,144.98161,2016,3,15,67.04,12.96,26.12,14.2,19.23,5.58,4.34,9.4,7.49,7.36,5.61
-37.82549,144.98161,2016,3,16,56.89,13.03,29.86,14.29,21.99,1.6,1.16,6.06,4.6,4.53,2.93
-37.82549,144.98161,2016,3,17,48.46,13.01,30.99,19.61,24.64,6.36,3.15,10.53,7.81,8.47,5.77
-37.82549,144.98161,2016,3,18,71.25,10.73,23.84,11.24,16.46,8.09,5.37,14.05,11.18,11.32,8.39
-37.82549,144.98161,2016,3,19,68.38,7.91,17.69,10.78,13.69,5.35,3.08,7.91,6.5,7.14,5.12
-37.82549,144.98161,2016,3,20,61.28,7.15,20.78,9.52,14.66,4.04,2.69,7.45,5.79,5.42,3.84
-37.82549,144.98161,2016,3,21,69.03,9.53,21.82,9.59,15.23,4.21,2.87,7.31,6.26,5.64,4.03
-37.82549,144.98161,2016,3,22,60.96,9.34,25.12,10.41,17.11,0.32,0.26,4.68,2.83,2.62,1.86
-37.82549,144.98161,2016,3,23,55.84,9.44,25.02,13.07,18.73,1.55,0.77,7.89,5.89,5.05,3.38
-37.82549,144.98161,2016,3,24,77.66,13.26,21.92,14.44,17.19,0.41,0.68,4.95,3.87,3.12,2.39
-37.82549,144.98161,2016,3,25,69.2,10.35,20.81,13.18,16.07,3.24,2.07,5.08,4.54,4.29,3.15
-37.82549,144.98161,2016,3,26,76,11.56,21.11,11.61,15.78,3.72,2.27,6.33,5.4,5.28,3.83
-37.82549,144.98161,2016,3,27,68,8.37,18.51,11.44,14.26,5.27,3.53,7.21,6.02,6.45,4.64
-37.82549,144.98161,2016,3,28,66.74,7.61,16.84,11.09,13.68,5.67,3.27,6.94,5.48,6.27,4.4
-37.82549,144.98161,2016,3,29,68.08,8.42,18.11,11.5,14.21,5.86,4.02,7.41,6.18,6.8,4.99
-37.82549,144.98161,2016,3,30,65.3,7.84,17.91,11.37,14.29,3.91,2.37,6.98,6,6.12,4.44
-37.82549,144.98161,2016,3,31,69.37,10.62,22.44,10.49,16.26,2.08,1.28,4.07,3.04,2.96,2.17
-37.82549,144.98161,2016,4,1,57.68,9.48,22.66,13.47,18,5.01,2.96,11.37,8.52,8.76,5.83
-37.82549,144.98161,2016,4,2,60.18,7.63,19.89,10.67,15.52,5.85,3.18,10.12,6.52,7.33,5.1
-37.82549,144.98161,2016,4,3,63.51,6.82,19.58,9.6,13.63,4.74,3.08,6.29,5.38,5.57,3.86
-37.82549,144.98161,2016,4,4,64.06,7.89,22.41,8.44,14.69,0.45,0.83,5.43,3.44,3.25,2.27
-37.82549,144.98161,2016,4,5,47.35,6.63,27.16,11.11,18.49,2.71,1.39,12.05,9.39,7.58,5.09
-37.82549,144.98161,2016,4,6,84.46,10.53,15.98,8.89,13.26,3.14,1.96,7.53,6.09,5.12,3.65
-37.82549,144.98161,2016,4,7,69.71,7.26,19.01,7.24,12.69,1.67,1.13,5.42,3.21,3.5,2.49
-37.82549,144.98161,2016,4,8,65.71,8.32,20.12,11.12,14.69,0.53,0.3,3.69,3.22,2.31,1.79
-37.82549,144.98161,2016,4,9,64.96,9.08,21.64,10.58,15.71,0.66,0.53,5.94,4.27,3.97,2.78
-37.82549,144.98161,2016,4,10,68.9,10,21.87,10.97,15.72,6.02,3.52,8.71,7.1,7.2,4.9
-37.82549,144.98161,2016,4,11,78.57,11.35,19.36,12.4,15.05,4.95,2.7,7.61,6.2,6.18,4.28
-37.82549,144.98161,2016,4,12,80.36,10.87,17.76,11.81,14.21,5.04,2.75,5.8,4.82,5.39,3.68
-37.82549,144.98161,2016,4,13,77.61,10.26,19.8,10.67,14.11,2.15,2.27,6.25,4.36,4.44,3.15
-37.82549,144.98161,2016,4,14,66.29,9.7,23.89,10.7,16.06,1.22,0.84,7.25,5.46,3.87,2.6
-37.82549,144.98161,2016,4,15,57.87,9.15,25.86,12.22,17.73,1.44,0.96,6.43,5,4.25,2.92
-37.82549,144.98161,2016,4,16,82.15,11.19,19.32,11.22,14.22,2.55,1.6,7.7,6.41,5.13,3.99
-37.82549,144.98161,2016,4,17,69.22,7.66,18.43,10.44,13.22,3.71,2.39,7.62,6.03,6.3,4.47
-37.82549,144.98161,2016,4,18,69.04,10.25,23.82,9.04,15.95,2.76,1.98,7.69,6.11,5.03,3.45
-37.82549,144.98161,2016,4,19,57.68,8.81,24.69,11.69,17.38,4.62,2.69,7.32,5.66,6.01,3.85
-37.82549,144.98161,2016,4,20,53.11,9.13,26.39,13.33,18.95,5.11,2.9,8.45,5.82,7.03,4.38
-37.82549,144.98161,2016,4,21,69.74,11.95,22.79,13.68,17.7,3.68,2.92,9.76,6.01,6.7,4.71
-37.82549,144.98161,2016,4,22,73.46,8.56,16.69,11.62,13.38,6.4,4.17,8.19,6.84,7.48,5.52
-37.82549,144.98161,2016,4,23,76.03,9.26,17.33,10.11,13.42,4.6,2.78,7.01,5.89,6.05,4.19
-37.82549,144.98161,2016,4,24,70.57,8.27,20.72,9.47,13.55,0.27,0.18,5.09,3.08,2.6,1.75
-37.82549,144.98161,2016,4,25,59.4,7.1,23.42,8.75,15.01,2.27,1.58,7.53,5.94,5.86,3.83
-37.82549,144.98161,2016,4,26,53.19,6.22,23.61,9.74,15.83,6.02,3.72,8.75,6.75,7.48,4.67
-37.82549,144.98161,2016,4,27,48.9,6.98,24.2,12.37,17.97,8.59,4.94,13.43,10.25,10.8,7.21
-37.82549,144.98161,2016,4,28,54.61,9.85,25.36,15.47,19.38,1.05,0.44,11.25,7.15,6.85,4.51
-37.82549,144.98161,2016,4,29,80.3,13.08,18.53,14.94,16.59,5.31,3.37,10.19,6.93,7.57,4.82
-37.82549,144.98161,2016,4,30,76.14,13.13,22.27,14.11,17.43,6.57,3.69,10.9,8.19,8.77,5.76
-37.82549,144.98161,2016,5,1,76.16,8.28,15.77,7.72,12.69,6.42,3.8,13.49,10.6,10.14,7.33
-37.82549,144.98161,2016,5,2,62.25,4.52,16.68,6.53,11.53,6.55,3.84,13.22,10.03,10.03,7.18
-37.82549,144.98161,2016,5,3,72.75,8.08,16.64,8.66,12.98,8.03,4.61,16.45,12.97,12.55,9.18
-37.82549,144.98161,2016,5,4,67.16,5.29,16.73,6.16,11.22,5.36,3.68,8.45,6.74,7.39,4.99
-37.82549,144.98161,2016,5,5,68.2,8.09,19.5,8.66,13.85,7.77,4.87,12.69,9.97,10.02,7.02
-37.82549,144.98161,2016,5,6,65.92,9.11,23.14,10.42,15.51,0.47,0.15,10.52,7.15,6.75,4.78
-37.82549,144.98161,2016,5,7,59.74,7.84,23.62,10.9,15.7,5.14,2.7,9.19,6.94,7.51,4.69
-37.82549,144.98161,2016,5,8,84.33,11.76,15.61,13.29,14.56,5.87,3.66,8.53,5.66,7.05,4.6
-37.82549,144.98161,2016,5,9,82.27,12.36,17.29,13.36,15.64,8.28,5.51,16.63,12.4,11.41,8.22
-37.82549,144.98161,2016,5,10,72.75,8.28,16.29,10.79,13.31,9.56,6.43,14.47,10.83,11.7,8.57
-37.82549,144.98161,2016,5,11,80.62,8.95,14.32,9.48,12.22,8.43,5.53,12.87,9.91,11.09,7.93
-37.82549,144.98161,2016,5,12,78.62,12.11,20.05,13.6,15.81,8.88,5.49,12.53,8.94,10.63,7.42
-37.82549,144.98161,2016,5,13,71.22,9.61,20.34,11.18,14.79,6.4,3.41,8.86,6.42,7.76,5.06
-37.82549,144.98161,2016,5,14,69.39,8.42,20.76,9.53,13.97,7.83,4.5,10.73,8.1,8.93,6.07
-37.82549,144.98161,2016,5,15,70.99,7.81,19.09,9.04,13.01,3.14,2.18,10,7.8,7.77,5.43
-37.82549,144.98161,2016,5,16,79.45,9.13,19.1,6.27,12.7,1.9,1.36,12.94,9.48,8.47,6.09
-37.82549,144.98161,2016,5,17,72.78,8.06,17.21,10,12.86,3.23,2.1,10.22,6.82,7.01,4.71
-37.82549,144.98161,2016,5,18,71.5,7.22,17.26,8.24,12.23,3.27,2.11,8.24,6.15,6.51,4.31
-37.82549,144.98161,2016,5,19,81.33,10.36,17.17,10.44,13.52,7.45,4.35,11.99,9.21,9.6,6.75
-37.82549,144.98161,2016,5,20,77.19,8.53,16.38,9.56,12.45,0.72,0.56,6.87,3.97,3.86,2.56
-37.82549,144.98161,2016,5,21,80.14,8.47,16.63,8.26,11.79,3.4,2.29,7.76,5.54,5.87,3.82
-37.82549,144.98161,2016,5,22,66.68,7.87,19.19,9.02,13.98,7.96,4.82,13.42,10.38,10.63,7.39
-37.82549,144.98161,2016,5,23,76.39,7.72,14.67,9.27,11.91,6.69,3.75,11.44,8.98,9.3,6.46
-37.82549,144.98161,2016,5,24,79.24,7.68,15.46,8.3,11.17,0.62,0.39,7.21,4.84,4.91,3.26
-37.82549,144.98161,2016,5,25,75.78,6.51,15.09,8.15,10.7,5.02,2.98,11.7,9.15,9.12,6.56
-37.82549,144.98161,2016,5,26,89.51,7.18,11.23,6,8.85,4.87,3.25,10.14,7.47,7.07,4.83
-37.82549,144.98161,2016,5,27,82.91,5.75,12.47,5.82,8.53,1.26,0.92,7.19,4.67,4.71,3.19
-37.82549,144.98161,2016,5,28,83.68,5.96,12.07,5.43,8.6,2.1,1.43,8.75,7.08,6.65,4.42
-37.82549,144.98161,2016,5,29,80.54,5.84,11.72,7.1,9.04,1.36,1,7.11,4.24,4.43,2.94
-37.82549,144.98161,2016,5,30,69.34,3.95,13.82,5.91,9.35,0.15,0.07,2.29,1.95,1.69,1.27
-37.82549,144.98161,2016,5,31,68.12,2.88,15.46,2.11,8.52,1.38,0.9,3.82,3.05,2.69,1.95
-37.82549,144.98161,2016,6,1,74.94,5.42,15.69,5.32,9.72,1.91,1.32,3.67,2.44,2.52,1.81
-37.82549,144.98161,2016,6,2,85.29,7.15,15.19,6.77,9.55,0.18,0.16,4.38,2.63,1.95,1.39
-37.82549,144.98161,2016,6,3,86.77,7.58,15,6.47,9.73,2.35,1.93,4.58,2.65,3.41,2.28
-37.82549,144.98161,2016,6,4,98.24,10.59,13.04,9.27,10.9,2.34,1.45,5.08,2.7,3.64,2.28
-37.82549,144.98161,2016,6,5,93.04,9.63,14.05,6.65,10.78,0.34,0.19,5.35,3.16,3.71,2.37
-37.82549,144.98161,2016,6,6,91.46,6.92,12.05,5.68,8.26,5.08,2.83,6.6,5.46,5.99,3.94
-37.82549,144.98161,2016,6,7,94.09,9.05,13.4,6.97,10.01,6.2,3.59,9.59,6.88,7.74,5.27
-37.82549,144.98161,2016,6,8,92.21,8.83,11.89,8.37,10.03,6.32,3.73,12.37,9.15,8.62,6.25
-37.82549,144.98161,2016,6,9,90.55,9.06,13.01,8.09,10.54,6.87,3.88,10.74,7.75,8.23,5.59
-37.82549,144.98161,2016,6,10,88.86,7.61,13.05,6.46,9.39,6.6,4,9.19,7.22,7.64,5.15
-37.82549,144.98161,2016,6,11,81.11,4.44,11.67,4.81,7.6,6,3.41,9.88,7.62,7.97,5.18
-37.82549,144.98161,2016,6,12,76.54,3.56,13.07,3.41,7.49,2.07,1.48,6.3,3.51,3.92,2.7
-37.82549,144.98161,2016,6,13,76.34,2.34,12.13,2.4,6.24,3.33,2.31,8.2,6.7,6.64,4.45
-37.82549,144.98161,2016,6,14,85.52,5.35,14.22,3.94,7.66,2.71,1.69,8.2,6.25,6.07,4.23
-37.82549,144.98161,2016,6,15,85.55,6.05,15.54,4.15,8.34,1.66,1.12,6.55,3.77,3.93,2.57
-37.82549,144.98161,2016,6,16,88.57,6.02,11.58,3.56,7.92,6.35,3.78,10.25,8,8.52,6.07
-37.82549,144.98161,2016,6,17,94.87,10.54,13.7,10.17,11.33,2.67,1.55,8.96,6.07,5.16,3.33
-37.82549,144.98161,2016,6,18,90.04,7.64,11.04,6.37,9.2,4.16,2.54,5.81,4.25,5.04,3.39
-37.82549,144.98161,2016,6,19,92.66,7.41,11.55,6.27,8.58,1.39,0.96,6.51,4.07,3.48,2.35
-37.82549,144.98161,2016,6,20,95.14,9.79,11.77,8.83,10.54,6.33,3.72,9.38,7.4,7.83,5.48
-37.82549,144.98161,2016,6,21,89.79,7.47,10.95,7.25,9.05,6.36,3.66,11.18,8.83,8.95,6.4
-37.82549,144.98161,2016,6,22,85.29,7.21,12.59,6.73,9.55,7.86,4.66,11.4,8.87,9.61,6.63
-37.82549,144.98161,2016,6,23,84.56,5.86,12.7,5.32,8.31,5.51,3.48,16.55,12.85,10.96,8.21
-37.82549,144.98161,2016,6,24,91.92,3.66,6.41,3.61,4.89,5.9,3.92,10.9,8.52,8.09,5.6
-37.82549,144.98161,2016,6,25,85.26,3.62,10.32,2.33,5.99,1.48,1.13,7.67,4.41,4.39,2.92
-37.82549,144.98161,2016,6,26,86,2.7,9.34,1.22,4.89,4.37,2.8,7.51,6.23,6.2,4.15
-37.82549,144.98161,2016,6,27,87.31,3.47,10.46,2.39,5.5,3.95,2.24,7.23,4.79,5.97,3.91
-37.82549,144.98161,2016,6,28,91.69,5.88,13.02,2.87,7.3,5.39,2.66,8.01,5.25,6.65,4.25
-37.82549,144.98161,2016,6,29,82.95,5.66,12.9,5.55,8.43,5.9,3.83,10.95,7.76,8.1,5.45
-37.82549,144.98161,2016,6,30,85.52,4.28,7.53,5.55,6.55,8.86,5.59,13.99,11.01,11.18,8.38
-37.82549,144.98161,2016,7,1,87.32,6.79,11.73,6.99,8.8,5.68,3.28,8.26,6.27,7.39,4.84
-37.82549,144.98161,2016,7,2,87.41,7.76,14.14,7.89,9.76,5.9,3.07,7.8,5.83,7.01,4.33
-37.82549,144.98161,2016,7,3,88.35,7.55,13.57,6.89,9.37,6.38,3.75,8.95,6.88,7.71,4.91
-37.82549,144.98161,2016,7,4,88.54,6.1,10.23,6.73,7.86,4.62,2.66,8.31,6.33,7.05,4.75
-37.82549,144.98161,2016,7,5,95.54,7.43,9.73,6.19,8.18,2.34,1.5,9.79,7.23,6.25,4.51
-37.82549,144.98161,2016,7,6,92.07,8.67,10.98,8.94,9.89,6.84,4.18,10.67,8.38,9.02,6.51
-37.82549,144.98161,2016,7,7,96.07,8.5,10.68,7.68,9.09,3.62,2.3,6.51,3.95,5.09,3.27
-37.82549,144.98161,2016,7,8,92.34,8.21,12.58,7.17,9.4,0.53,0.32,3.85,2.26,2.38,1.56
-37.82549,144.98161,2016,7,9,86.42,6.44,12.92,5.63,8.6,0.47,0.41,4.82,2.75,2.79,1.87
-37.82549,144.98161,2016,7,10,91.72,7.24,11.43,5.52,8.52,4.46,2.51,15.05,11.04,9.26,6.6
-37.82549,144.98161,2016,7,11,81.93,7.55,12.32,9.39,10.5,11.91,8.41,15.43,11.96,13.4,9.86
-37.82549,144.98161,2016,7,12,83.21,4.94,9.6,4.68,7.72,11.18,8,17.66,13.54,14.44,10.84
-37.82549,144.98161,2016,7,13,81.7,3.29,9.59,4.22,6.2,8.72,5.38,14.46,10.86,11.17,7.97
-37.82549,144.98161,2016,7,14,84.3,5.02,11.82,3.85,7.56,7.67,4.69,10.22,8.02,8.58,5.73
-37.82549,144.98161,2016,7,15,85.35,6.53,12.99,5.83,8.86,3.72,2.09,7.55,4.66,5.39,3.51
-37.82549,144.98161,2016,7,16,83.01,5.11,12.97,3.81,7.83,0.37,0.38,5.03,3.07,2.7,1.86
-37.82549,144.98161,2016,7,17,86.44,5.67,13.83,2.64,7.86,5.36,3.19,10,7.66,7.86,5.26
-37.82549,144.98161,2016,7,18,87.55,8.82,15.84,8.02,10.84,5.42,2.91,11.75,8.88,8.87,6.13
-37.82549,144.98161,2016,7,19,86.36,8.42,13.81,8.01,10.6,1.1,0.74,4.91,2.96,3.13,2.03
-37.82549,144.98161,2016,7,20,89.91,8.1,13.37,7.24,9.66,0.73,0.64,3.44,2.02,2.01,1.44
-37.82549,144.98161,2016,7,21,91.47,9.2,15.25,6.04,10.61,1.84,1.31,11.61,8.92,7.03,4.83
-37.82549,144.98161,2016,7,22,85.07,9.58,14.9,8.2,12.06,6,3.46,14.26,10.71,11.35,8.15
-37.82549,144.98161,2016,7,23,80.2,3.14,8.89,3.11,6.42,6.72,3.96,14.54,10.96,10.49,7.58
-37.82549,144.98161,2016,7,24,86.87,3.43,10.02,1.8,5.52,6.52,3.83,11.22,8.93,8.37,6
-37.82549,144.98161,2016,7,25,82.56,5.05,11.45,5.17,7.87,7.53,4.57,17.29,12.87,11.13,7.98
-37.82549,144.98161,2016,7,26,77.86,2.34,8.19,3.15,5.92,7.13,5.04,12.89,9.68,10.36,7.46
-37.82549,144.98161,2016,7,27,81.57,4.66,11.01,5.25,7.67,7.45,4.24,12.3,9.27,8.46,5.82
-37.82549,144.98161,2016,7,28,87.93,6.45,12.52,4.71,8.4,7.37,4.02,8.81,6.55,7.94,5.11
-37.82549,144.98161,2016,7,29,91.59,8.06,11.82,7.84,9.36,4.59,2.67,9.22,7.07,7.69,5.17
-37.82549,144.98161,2016,7,30,88.84,7.74,12.83,6.55,9.49,3.92,2.46,12.9,9.55,8.63,6.24
-37.82549,144.98161,2016,7,31,81.04,7.21,14.18,6.91,10.34,2.76,2.23,12.61,9.15,6.65,4.27
-37.82549,144.98161,2016,8,1,89.16,8.29,11.74,7.52,10,4.92,2.8,9.6,7.45,7.91,5.41
-37.82549,144.98161,2016,8,2,84.21,5.88,11.4,6.56,8.39,6.29,3.4,8.85,7.09,7.72,5.23
-37.82549,144.98161,2016,8,3,90.56,6.74,11.43,5.46,8.19,4.7,2.86,8.03,6.54,6.62,4.55
-37.82549,144.98161,2016,8,4,87.21,5.31,12.28,4.73,7.29,2.31,1.64,6,3.58,3.95,2.74
-37.82549,144.98161,2016,8,5,79.06,4.41,13.24,3.43,7.84,0.37,0.34,4.12,3.33,2.67,2.02
-37.82549,144.98161,2016,8,6,78.02,4.23,11.97,4.6,7.86,1.2,0.89,4.49,2.8,2.27,1.58
-37.82549,144.98161,2016,8,7,69.76,3.42,14.05,4.92,8.66,0.36,0.33,4.78,2.95,2.67,1.83
-37.82549,144.98161,2016,8,8,77.13,3.87,13.62,2.69,7.73,3.66,2.48,11.13,7.87,7.51,5.31
-37.82549,144.98161,2016,8,9,77.12,6.94,14.78,7.31,10.85,9.36,6.67,14.42,11.13,11.73,8.63
-37.82549,144.98161,2016,8,10,83.1,6.47,12.06,6.91,9.19,8.31,5.4,12.88,10.01,10.53,7.62
